gamma;w;alpha_c
4.1158583656;5.31275e-05;-1.81970574
4.115858332;0.001003465;-1.8197058
4.115;0.163;-1.822
4.1;0.688;-1.859
4.039136;1.5138796;-2.009558
4.0;1.861;-2.108
3.9;2.54;-2.363
3.8;3.073;-2.624
3.7;3.527;-2.891
3.6;3.93;-3.164
3.5;4.295;-3.443
3.4;4.631;-3.729
3.3;4.946;-4.021
3.2;5.241;-4.319
3.1;5.521;-4.625
3.0;5.788;-4.936
2.9;6.043;-5.255
2.8;6.288;-5.58
2.7;6.524;-5.912
2.6;6.752;-6.251
2.5;6.973;-6.597
2.4;7.187;-6.95
2.3;7.395;-7.31
2.2;7.598;-7.678
2.1;7.795;-8.053
2.0;7.988;-8.435
1.9;8.176;-8.825
1.8;8.36;-9.223
1.7;8.541;-9.629
1.6;8.718;-10.042
1.5;8.891;-10.463
1.4;9.061;-10.892
1.3;9.229;-11.33
1.2;9.393;-11.775
1.1;9.555;-12.229
1.0;9.714;-12.692
0.9;9.87;-13.162
0.8;10.025;-13.642
0.7;10.177;-14.13
0.6;10.327;-14.627
0.5;10.475;-15.133
0.4;10.621;-15.647
0.3;10.765;-16.171
0.2;10.907;-16.704
0.1;11.048;-17.247
0.0;11.187;-17.799
-0.1;11.324;-18.36
-0.2;11.46;-18.931
-0.3;11.594;-19.512
-0.4;11.727;-20.102
-0.5;11.858;-20.703
-0.6;11.988;-21.313
-0.7;12.117;-21.934
-0.8;12.244;-22.565
-0.9;12.37;-23.206
-1.0;12.496;-23.858
-1.1;12.619;-24.521
-1.2;12.742;-25.194
-1.3;12.864;-25.878
-1.4;12.984;-26.573
-1.5;13.104;-27.279
-1.6;13.222;-27.997
-1.7;13.34;-28.726
-1.8;13.456;-29.466
-1.9;13.572;-30.217
-2.0;13.687;-30.981
-2.1;13.801;-31.756
-2.2;13.914;-32.543
-2.3;14.026;-33.343
-2.4;14.137;-34.154
-2.5;14.248;-34.978
-2.6;14.357;-35.814
-2.7;14.466;-36.663
-2.8;14.575;-37.524
-2.9;14.682;-38.399
-3.0;14.789;-39.286
-3.1;14.895;-40.186
-3.2;15.0;-41.1
-3.3;15.105;-42.027
-3.4;15.209;-42.968
-3.5;15.312;-43.922
-3.6;15.415;-44.89
-3.7;15.517;-45.872
-3.8;15.618;-46.868
-3.9;15.719;-47.878
-4.0;15.82;-48.902
-4.1;15.919;-49.941
